date,actual_close,predicted_close,naive_close,abs_error,naive_abs_error
2025-07-23,24079.400390625,22997.363,23875.849609375,1082.037109375,203.55078125
2025-07-24,24087.30078125,22975.246,24079.400390625,1112.0546875,7.900390625
2025-07-25,23781.55078125,23009.66,24087.30078125,771.890625,305.75
2025-07-28,23693.0,23143.807,23781.55078125,549.193359375,88.55078125
2025-07-29,23888.349609375,23072.455,23693.0,815.89453125,195.349609375
2025-07-30,23745.80078125,23084.13,23888.349609375,661.669921875,142.548828125
2025-07-31,23655.849609375,23001.492,23745.80078125,654.357421875,89.951171875
2025-08-01,23410.94921875,22884.791,23655.849609375,526.158203125,244.900390625
2025-08-04,23787.5,22866.684,23410.94921875,920.81640625,376.55078125
2025-08-05,23876.30078125,22811.273,23787.5,1065.02734375,88.80078125
2025-08-06,23748.849609375,22815.338,23876.30078125,933.51171875,127.451171875
2025-08-07,23808.099609375,22818.377,23748.849609375,989.72265625,59.25
2025-08-08,23474.650390625,22762.82,23808.099609375,711.830078125,333.44921875
2025-08-11,23723.75,22791.537,23474.650390625,932.212890625,249.099609375
2025-08-12,23856.599609375,22679.43,23723.75,1177.169921875,132.849609375
2025-08-13,24122.650390625,22725.229,23856.599609375,1397.421875,266.05078125
2025-08-14,24118.80078125,22729.416,24122.650390625,1389.384765625,3.849609375
2025-08-18,25127.19921875,22830.95,24118.80078125,2296.25,1008.3984375
2025-08-19,25456.69921875,22848.908,25127.19921875,2607.791015625,329.5
2025-08-20,25469.25,23018.168,25456.69921875,2451.08203125,12.55078125
2025-08-21,25377.5,23153.025,25469.25,2224.474609375,91.75
2025-08-22,25329.44921875,23231.562,25377.5,2097.88671875,48.05078125
2025-08-25,25423.400390625,23287.656,25329.44921875,2135.744140625,93.951171875
2025-08-26,25320.30078125,23298.848,25423.400390625,2021.453125,103.099609375
2025-08-28,25183.5,23254.803,25320.30078125,1928.697265625,136.80078125
2025-08-29,24960.849609375,23323.691,25183.5,1637.158203125,222.650390625
2025-09-01,25660.0,23284.219,24960.849609375,2375.78125,699.150390625
