date,actual_close,predicted_close,naive_close,abs_error,naive_abs_error
2025-07-29,23888.349609375,24228.086,23693.0,339.736328125,195.349609375
2025-07-30,23745.80078125,24378.758,23888.349609375,632.95703125,142.548828125
2025-07-31,23655.849609375,24358.812,23745.80078125,702.962890625,89.951171875
2025-08-01,23410.94921875,24178.16,23655.849609375,767.2109375,244.900390625
2025-08-04,23787.5,24171.209,23410.94921875,383.708984375,376.55078125
2025-08-05,23876.30078125,24357.04,23787.5,480.73828125,88.80078125
2025-08-06,23748.849609375,24270.389,23876.30078125,521.5390625,127.451171875
2025-08-07,23808.099609375,24239.129,23748.849609375,431.029296875,59.25
2025-08-08,23474.650390625,24182.54,23808.099609375,707.888671875,333.44921875
2025-08-11,23723.75,24183.309,23474.650390625,459.55859375,249.099609375
2025-08-12,23856.599609375,24355.148,23723.75,498.548828125,132.849609375
2025-08-13,24122.650390625,24216.668,23856.599609375,94.017578125,266.05078125
2025-08-14,24118.80078125,24289.023,24122.650390625,170.22265625,3.849609375
2025-08-18,25127.19921875,24451.88,24118.80078125,675.318359375,1008.3984375
2025-08-19,25456.69921875,24522.66,25127.19921875,934.0390625,329.5
2025-08-20,25469.25,24498.613,25456.69921875,970.63671875,12.55078125
2025-08-21,25377.5,24697.883,25469.25,679.6171875,91.75
2025-08-22,25329.44921875,24711.64,25377.5,617.80859375,48.05078125
2025-08-25,25423.400390625,24770.13,25329.44921875,653.26953125,93.951171875
2025-08-26,25320.30078125,24772.355,25423.400390625,547.9453125,103.099609375
2025-08-28,25183.5,24876.365,25320.30078125,307.134765625,136.80078125
2025-08-29,24960.849609375,24924.824,25183.5,36.025390625,222.650390625
2025-09-01,25660.0,24980.012,24960.849609375,679.98828125,699.150390625
2025-09-02,25584.94921875,25079.07,25660.0,505.87890625,75.05078125
2025-09-03,25775.44921875,25312.738,25584.94921875,462.7109375,190.5
2025-09-04,25994.849609375,25397.139,25775.44921875,597.7109375,219.400390625
2025-09-05,26320.599609375,25404.648,25994.849609375,915.951171875,325.75
