symbol,transformer_retrained,lstm_ok,transformer_ok,lstm_metadata_source,transformer_metadata_source,lstm_sequence_length,transformer_sequence_length,test_rows_common,mae_lstm,mae_transformer,rmse_lstm,rmse_transformer,mape_lstm,mape_transformer,r2_lstm,r2_transformer,dir_acc_lstm,dir_acc_transformer,mae_winner,rmse_winner,mape_winner,r2_winner,dir_acc_winner,fairness_asset_type,fairness_same_sequence_length,fairness_same_history_period,fairness_same_seed,fairness_same_train_split_size,fairness_same_val_split_size,fairness_same_test_split_size,fairness_missing_metadata,fairness_expected_sequence_length,fairness_lstm_sequence_length,fairness_transformer_sequence_length
RELIANCE.NS,True,True,True,new,new,120,120,183,48.27900937606728,119.94539854956454,62.025184019167185,138.05873021660602,3.2925814274455663,8.152452842468758,0.21493992504790316,-2.8895066462207177,48.08743169398907,49.72677595628415,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
AXISBANK.NS,True,True,True,new,new,120,120,183,78.23752414724214,90.25154555690744,88.8773690550039,103.45918389770327,6.258307673784645,7.168935213225995,0.1840476534171701,-0.10565723479440603,47.540983606557376,48.08743169398907,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
HDFCBANK.NS,True,True,True,new,new,120,120,183,118.94088928556182,57.869745640155394,126.51649527557244,88.35854481621733,12.340931424633336,6.745990744784251,-2.2257073545081867,-0.5733587822280093,56.830601092896174,48.08743169398907,transformer,transformer,transformer,transformer,lstm,stocks,True,True,True,True,True,True,False,120,120,120
ONGC.NS,True,True,True,new,new,120,120,183,6.112297516702954,11.901113374637124,7.796117803210583,16.227394992646776,2.4048331040695414,4.505874147880534,0.786171403687449,0.07358279024164804,45.90163934426229,49.72677595628415,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
SBIN.NS,True,True,True,new,new,120,120,183,154.80787833792263,87.4440774552809,184.16007915547362,109.00485147415029,15.007289810833827,8.452389362615142,-1.453014525852041,0.1405892356598376,43.169398907103826,44.80874316939891,transformer,transformer,transformer,transformer,transformer,stocks,True,True,True,True,True,True,False,120,120,120
INFY.NS,True,True,True,new,new,120,120,183,71.4975639301571,87.81210577292521,90.3357659509354,103.35002770790194,4.926215589042456,6.008910891261196,0.433913694392252,0.25905771368712494,46.994535519125684,52.459016393442624,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
TCS.NS,True,True,True,new,new,120,120,183,218.40671960382514,395.09369663592895,301.19698308313895,460.18436650404476,8.1059916045417,14.172084852108505,-0.30123934361053983,-2.03752367941832,46.994535519125684,46.44808743169399,lstm,lstm,lstm,lstm,lstm,stocks,True,True,True,True,True,True,False,120,120,120
ICICIBANK.NS,True,True,True,new,new,120,120,183,99.45996027044912,76.6209656762295,107.20277482519465,88.89150298329902,7.136912767844844,5.702736850934423,-2.7837499152226304,-1.6015421664749416,56.284153005464475,47.540983606557376,transformer,transformer,transformer,transformer,lstm,stocks,True,True,True,True,True,True,False,120,120,120
KOTAKBANK.NS,True,True,True,new,new,120,120,183,23.221233430455943,43.16731070429901,25.74710881169454,47.674963215583816,5.550122830381335,10.288107336406483,-0.4191389589174068,-3.865737987165973,53.551912568306015,55.73770491803278,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
ADANIPORTS.NS,True,True,True,new,new,120,120,183,164.09491400379952,139.4700760971653,177.6804828409321,152.90902713702317,11.221451572900566,9.511038091781492,-5.419644237008974,-3.7544223625478574,51.36612021857923,53.00546448087432,transformer,transformer,transformer,transformer,transformer,stocks,True,True,True,True,True,True,False,120,120,120
ADANIENT.NS,True,True,True,new,new,120,120,183,129.95068692900443,285.39068169932546,162.98190255770027,324.59020516633876,5.768212389639785,13.277270284819597,0.31421604041664364,-1.7200655947051828,55.73770491803278,44.80874316939891,lstm,lstm,lstm,lstm,lstm,stocks,True,True,True,True,True,True,False,120,120,120
BAJFINANCE.NS,True,True,True,new,new,120,120,183,163.6068168598446,172.142092845479,177.34829266676985,183.69807029072183,16.544704927381922,17.459001409152,-6.051690849079618,-6.565688022909051,46.44808743169399,46.44808743169399,lstm,lstm,lstm,lstm,transformer,stocks,True,True,True,True,True,True,False,120,120,120
BHARTIARTL.NS,True,True,True,new,new,120,120,183,293.73070155075993,149.4491086866035,304.7003178001673,172.68732174865664,14.742628163394167,7.39450556030123,-8.15471698537651,-1.9404920960110146,49.72677595628415,50.81967213114754,transformer,transformer,transformer,transformer,transformer,stocks,True,True,True,True,True,True,False,120,120,120
^NSEI,True,True,True,new,new,120,120,183,1684.8274632855191,797.978771772541,1763.7292631852613,932.4952775757857,6.656165802657256,3.179829734357319,-3.0314984078468017,-0.12692738737168807,46.994535519125684,49.72677595628415,transformer,transformer,transformer,transformer,transformer,indices,True,True,True,True,True,True,False,120,120,120
^NSEBANK,True,True,True,new,new,120,120,183,4874.082479508197,5245.011227800546,5170.909701503412,5798.157699661451,8.398615772609217,8.987265405664129,-3.48436239762464,-4.638282617869079,44.26229508196721,45.90163934426229,lstm,lstm,lstm,lstm,transformer,indices,True,True,True,True,True,True,False,120,120,120
^NSEMDCP50,True,True,True,new,new,120,120,182,1384.3370321085165,621.6673355940934,1439.6546411964193,850.8673522575448,8.266222227457375,3.844346510176041,-5.210060123047207,-1.169216412727737,48.35164835164835,57.14285714285714,transformer,transformer,transformer,transformer,transformer,indices,True,True,True,True,True,True,False,120,120,120
^CNXAUTO,True,True,True,new,new,120,120,181,3086.7786710117402,3383.912012258287,3265.5642561632276,3591.2924202788395,11.420794370493931,12.538278324817714,-4.527471866377453,-5.685157000772144,50.27624309392266,50.82872928176796,lstm,lstm,lstm,lstm,transformer,indices,True,True,True,True,True,True,False,120,120,120
